Date,Open*,High,Low,Close**,Volume,Market Cap
28-Dec-19,"7,289.03","7,399.04","7,286.91",7317.99,21365673026.00,"132,659,059,740"
27-Dec-19,"7,238.14","7,363.53","7,189.93",7290.09,22777360996.00,"132,139,502,950"
26-Dec-19,"7,274.80","7,388.30","7,200.39",7238.97,22787010034.00,"131,200,030,100"
25-Dec-19,"7,325.76","7,357.02","7,220.99",7275.16,21559505149.00,"131,840,641,292"
24-Dec-19,"7,354.39","7,535.72","7,269.53",7322.53,22991622105.00,"132,687,583,295"
23-Dec-19,"7,508.90","7,656.18","7,326.19",7355.63,27831788041.00,"133,275,709,111"
22-Dec-19,"7,191.19","7,518.03","7,167.18",7511.59,23134537956.00,"136,088,022,049"
21-Dec-19,"7,220.59","7,223.23","7,112.74",7191.16,19312552168.00,"130,267,655,889"
20-Dec-19,"7,208.64","7,257.92","7,086.12",7218.82,22633815180.00,"130,752,796,980"
19-Dec-19,"7,277.59","7,346.60","7,041.38",7202.84,25904604416.00,"130,445,758,713"
18-Dec-19,"6,647.70","7,324.98","6,540.05",7276.80,31836522778.00,"131,754,969,804"
17-Dec-19,"6,931.32","6,964.07","6,587.97",6640.52,22363804217.00,"120,234,244,809"
16-Dec-19,"7,153.66","7,171.17","6,903.68",6932.48,20213265950.00,"125,515,586,952"
15-Dec-19,"7,124.24","7,181.08","6,924.38",7152.30,16881129804.00,"129,481,424,648"
14-Dec-19,"7,268.90","7,308.84","7,097.21",7124.67,17137029730.00,"128,970,221,233"
13-Dec-19,"7,244.66","7,293.56","7,227.12",7269.68,17125736940.00,"131,581,377,758"
12-Dec-19,"7,216.74","7,266.64","7,164.74",7243.13,18927080224.00,"131,087,151,088"
11-Dec-19,"7,277.20","7,324.16","7,195.53",7217.43,16350490689.00,"130,609,895,528"
10-Dec-19,"7,397.13","7,424.02","7,246.04",7278.12,18249031195.00,"131,696,121,855"
9-Dec-19,"7,561.80","7,618.09","7,365.99",7400.90,17872021272.00,"133,904,005,787"
8-Dec-19,"7,551.34","7,634.61","7,476.09",7564.35,15409908086.00,"136,847,419,896"
7-Dec-19,"7,547.27","7,589.95","7,525.71",7556.24,15453520564.00,"136,686,769,529"
6-Dec-19,"7,450.56","7,547.00","7,392.18",7547.00,18104466307.00,"136,504,883,935"
5-Dec-19,"7,253.24","7,743.43","7,232.68",7448.31,18816085231.00,"134,706,455,048"
4-Dec-19,"7,320.13","7,539.78","7,170.92",7252.03,21664240918.00,"131,143,073,943"
3-Dec-19,"7,323.98","7,418.86","7,229.36",7320.15,14797485769.00,"132,359,942,301"
2-Dec-19,"7,424.04","7,474.82","7,233.40",7321.99,17082040706.00,"132,378,982,377"
1-Dec-19,"7,571.62","7,571.62","7,291.34",7424.29,18720708479.00,"134,215,145,410"
30-Nov-19,"7,764.06","7,836.10","7,515.85",7569.63,17158194786.00,"136,829,391,049"
29-Nov-19,"7,466.73","7,781.18","7,460.76",7761.24,19709695456.00,"140,280,108,521"
28-Nov-19,"7,536.82","7,730.07","7,454.12",7463.11,19050116751.00,"134,879,411,013"
27-Nov-19,"7,220.88","7,619.69","6,974.17",7531.66,23991412764.00,"136,102,712,894"
26-Nov-19,"7,145.16","7,320.23","7,098.57",7218.37,21129505542.00,"130,429,018,720"
25-Nov-19,"7,039.98","7,319.86","6,617.17",7146.13,42685231262.00,"129,112,952,930"
24-Nov-19,"7,398.63","7,408.58","7,029.29",7047.92,30433517289.00,"127,327,398,565"
23-Nov-19,"7,296.16","7,442.26","7,151.42",7397.80,21008924418.00,"133,636,205,957"
22-Nov-19,"7,643.57","7,697.38","6,936.71",7296.58,34242315785.00,"131,791,783,672"
21-Nov-19,"8,023.64","8,110.10","7,597.38",7642.75,22514243371.00,"138,031,885,379"
20-Nov-19,"8,203.61","8,237.24","8,010.51",8027.27,20764300437.00,"144,962,727,398"
19-Nov-19,"8,305.13","8,408.52","8,099.96",8206.15,21083613816.00,"148,178,376,843"
18-Nov-19,"8,573.98","8,653.28","8,273.57",8309.29,21579470673.00,"150,025,712,267"
17-Nov-19,"8,549.47","8,727.79","8,500.97",8577.98,18668638897.00,"154,861,842,425"
16-Nov-19,"8,491.17","8,592.00","8,473.97",8550.76,16495389808.00,"154,354,054,194"
15-Nov-19,"8,705.71","8,730.87","8,484.84",8491.99,21796856471.00,"153,277,483,626"
14-Nov-19,"8,811.94","8,826.94","8,692.55",8708.10,19084739975.00,"157,160,974,644"
13-Nov-19,"8,812.03","8,836.84","8,761.65",8808.26,17545755405.00,"158,949,942,842"
12-Nov-19,"8,759.75","8,853.77","8,685.43",8815.66,20309769107.00,"159,068,712,900"
11-Nov-19,"9,056.92","9,081.28","8,700.61",8757.79,20265510765.00,"158,009,772,437"
